COMPTE;NOMENCLATURE;ORDR;QUANTITE;UNITE;VALEUR DU BRUT;POIDS;DATE OUVERTURE;DATE ECHEANCE
411 022 2024 0010750 D;3917313012;8;307400,0000;NB;44552,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;3919104000;6;3,0000;NB;2994,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;3926909290;9;83600,0000;NB;42563,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;4009420000;2;2400,0000;NB;35618,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;8544421090;14;181692,0000;M;564034,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;8544421090;15;184600,0000;NB;2004218,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;8544421090;19;55980,0000;NB;162374,0250;;26/11/2024;26/11/2026
411 022 2024 0010750 D;3921130000;2;25200,0000;NB;4178,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;3926909290;8;23526,0000;NB;54997,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;4008110099;2;30000,0000;NB;4545,0000;;26/11/2024;26/11/2026
411 022 2024 0010750 D;8544421090;13;13800,0000;NB;45768,0000;;26/11/2024;26/11/2026
