COMPTE;NOMENCLATURE;ORDR;QUANTITE;UNITE;VALEUR DU BRUT;POIDS;DATE OUVERTURE;DATE ECHEANCE
401 082 2024 0000118 N;3926909290;1;17000,0000;NB;22146,4070;;14/02/2024;14/09/2025
401 082 2024 0000118 N;3926909290;2;119000,0000;NB;27343,5080;;14/02/2024;14/09/2025
401 082 2024 0000118 N;3926909290;3;21500,0000;NB;37041,4600;;14/02/2024;14/09/2025
401 082 2024 0000118 N;3926909290;4;48000,0000;NB;8878,7800;;14/02/2024;14/09/2025
401 082 2024 0000118 N;3926909290;5;61000,0000;NB;7562,5040;;14/02/2024;14/09/2025
401 082 2024 0000118 N;3926909290;6;2000,0000;NB;700,7880;;14/02/2024;14/09/2025
