COMPTE;NOMENCLATURE;ORDR;QUANTITE;UNITE;VALEUR DU BRUT;POIDS;DATE OUVERTURE;DATE ECHEANCE
401 082 2024 0000155 D;3926909290;1;23000,0000;NB;14266,0620;;28/02/2024;14/09/2025
401 082 2024 0000155 D;3926909290;2;63000,0000;NB;82563,4740;;28/02/2024;14/09/2025
401 082 2024 0000155 D;3926909290;3;135000,0000;NB;30055,1770;;28/02/2024;14/09/2025
401 082 2024 0000155 D;3926909290;4;7500,0000;NB;9361,2090;;28/02/2024;14/09/2025
401 082 2024 0000155 D;3926909290;5;48000,0000;NB;8968,2960;;28/02/2024;14/09/2025
401 082 2024 0000155 D;3926909290;6;145000,0000;NB;20279,1060;;28/02/2024;14/09/2025
401 082 2024 0000155 D;3926909290;7;1500,0000;NB;1048,6760;;28/02/2024;14/09/2025
